alpha,delta,factor,time,minus_delta,total_record
0.7,0.2,0.75,200000,348.5936552,2192.34778
0.7,0.2,0.75,200000,304.8242057,2105.854531
0.7,0.2,0.75,200000,328.665081,2350.941885
0.7,0.2,0.75,400000,481.9119586,3481.175442
0.7,0.2,0.75,400000,504.7820846,3378.321252
0.7,0.2,0.75,400000,481.9740963,3541.947181
0.7,0.2,0.75,400000,496.4376765,3445.652237
0.7,0.2,0.75,400000,463.0120612,3456.413421
0.7,0.2,0.75,600000,605.2139863,4684.640112
0.7,0.2,0.75,600000,621.6170742,4462.245824
0.7,0.2,0.75,600000,619.0696231,4480.596902
0.7,0.2,0.75,600000,630.2395656,4641.654918
0.7,0.2,0.75,600000,617.2144059,4343.63222
0.7,0.2,0.75,800000,724.3845197,5434.297019
0.7,0.2,0.75,800000,778.6576415,5318.715145
0.7,0.2,0.75,800000,761.9595956,5527.527231
0.7,0.2,0.75,800000,691.9190367,5598.595569
0.7,0.2,0.75,800000,748.826144,5655.647364
0.7,0.2,0.675,100000,536.9475553,1995.326101
0.7,0.2,0.675,100000,506.8371406,1871.783065
0.7,0.2,0.675,100000,510.8657684,1900.910471
0.7,0.2,0.675,100000,482.8539547,1728.135368
0.7,0.2,0.675,100000,509.7433343,1849.891573
0.7,0.2,0.675,200000,832.8784579,3053.244772
0.7,0.2,0.675,200000,804.2687546,3179.214449
0.7,0.2,0.675,200000,844.775774,3249.699297
0.7,0.2,0.675,200000,827.4178768,3098.434769
0.7,0.2,0.675,200000,807.4660522,3074.769135
0.7,0.2,0.675,400000,1340.06921,5052.30897
0.7,0.2,0.675,400000,1352.632689,5125.39139
0.7,0.2,0.675,400000,1329.009041,5108.080381
0.7,0.2,0.675,400000,1327.404169,5134.564755
0.7,0.2,0.675,400000,1325.08738,5187.256929
0.7,0.2,0.675,600000,1738.361644,6839.629263
0.7,0.2,0.675,600000,1773.62248,6921.584161
0.7,0.2,0.675,600000,1732.755529,6852.104758
0.7,0.2,0.675,600000,1796.556052,7004.933056
0.7,0.2,0.675,600000,1751.73718,6892.493369
0.7,0.2,0.675,800000,2141.663796,8506.642247
0.7,0.2,0.675,800000,2108.17922,8349.077297
0.7,0.2,0.675,800000,2082.201765,8360.683126
0.7,0.2,0.675,800000,2081.642086,8310.570128
0.7,0.2,0.675,800000,2116.599458,8526.680269
0.7,0.05,0.5,100000,2967.100261,3837.625954
0.7,0.05,0.5,100000,2920.168337,3774.845845
0.7,0.05,0.5,100000,3002.75992,3862.655846
0.7,0.05,0.5,100000,2950.655052,3812.172078
0.7,0.05,0.5,100000,2938.041704,3782.906139
0.7,0.05,0.5,200000,5320.361279,6923.779624
0.7,0.05,0.5,200000,5291.144226,6850.929769
0.7,0.05,0.5,200000,5244.743106,6829.331297
0.7,0.05,0.5,200000,5260.0792,6850.000757
0.7,0.05,0.5,200000,5227.319467,6817.434667
0.7,0.05,0.5,400000,9231.187068,12121.61534
0.7,0.05,0.5,400000,9099.087621,11915.43111
